	WASTE MANAGENT AVERAGE PRICE PER TON (SOLD)									SURVEY AVERAGE PRICE PER TON																																										
Jan-02	2002	1	$910.00	-$5.42	$22.50	$80.00	$81.38	$10.36	$0.00	$890.00		$22.50	$27.50			$10.00	$17.00	$23.00		$90.00																																
Feb-02	2002	2	$910.00	-$5.42	$22.50	$80.00	$81.38	$10.36	$0.00	$910.00		$22.50	$27.50			$10.00	$17.00	$23.00		$70.00																																
Mar-02	2002	3	$955.21	-$15.00	$38.24	$80.33	$40.27	$15.71	$0.00	$970.00		$22.50	$27.50			$15.00	$17.00	$23.00		$120.00																																
Apr-02	2002	4	"$1,000.11"	-$15.00	$44.89	$80.00	$55.57	$25.89	$0.00	"$1,000.00"		$22.50	$27.50			$10.00	$17.00	$23.00		$120.00																																
May-02	2002	5	$969.59	-$15.00	$55.00	$80.00	$71.21	$21.07	$0.00	$960.00		$22.50	$27.50			$12.50	$17.00	$23.00		$130.00																																
Jun-02	2002	6	"$1,004.40"	-$15.49	$67.49	$90.00	$61.58	$21.07	$0.00	$940.00		$22.50	$27.50			$17.50	$17.00	$23.00		$130.00																																
Jul-02	2002	7	"$1,004.40"	-$15.49	$67.49	$90.00	$61.58	$21.07	$0.00	$900.00		$22.50	$27.50			$17.50	$17.00	$23.00		$130.00																																
Aug-02	2002	8	"$1,004.40"	-$15.49	$67.49	$90.00	$61.58	$21.07	$0.00	$905.00		$22.50	$27.50			$32.50	$17.00	$23.00		$140.00																																
Sep-02	2002	9	"$1,004.40"	-$15.49	$67.49	$90.00	$61.58	$21.07	$0.00	$920.00		$22.50	$32.50			$32.50	$17.00	$23.00		$140.00																																
Oct-02	2002	10	$930.05	-$15.42	$64.81	$100.00	$93.17	$20.18	$0.00	$960.00		$22.50	$27.50			$32.50	$17.00	$23.00		$140.00																																
Nov-02	2002	11	$980.00	-$15.42	$63.73	$95.00	$89.44	$20.18	$0.00	"$1,000.00"		$22.50	$27.50			$32.50	$17.00	$23.00		$140.00																																
Dec-02	2002	12	"$1,039.81"	-$15.42	$62.53	$90.00	$93.94	$20.18	$0.00	"$1,000.00"		$22.50	$32.50			$32.50	$17.00	$23.00		$100.00																																
Jan-03	2003	1	"$1,051.99"	-$15.42	$73.71	$86.27	$51.52	$27.68	$0.00	"$1,015.00"		$17.50	$32.50			$32.50	$17.00	$23.00		$100.00																																
Feb-03	2003	2	"$1,059.84"	-$15.42	$74.69	$85.00	$103.47	$29.11	$0.00	"$1,050.00"		$12.50	$27.50			$32.50	$17.00	$23.00		$130.00																																
Mar-03	2003	3	"$1,075.40"	-$15.42	$87.89	$95.49	$137.50	$41.07	$0.00	"$1,030.00"		$12.50	$27.50			$32.50	$17.00	$23.00		$120.00																																
Apr-03	2003	4	$973.37	-$15.42	$70.59	$92.43	$123.48	$33.57	$0.00	$990.00		$12.50	$27.50			$32.50	$17.00	$23.00		$130.00																																
May-03	2003	5	"$1,002.96"	-$15.42	$69.60	$85.34	$115.21	$27.14	$0.00	"$1,010.00"		$12.50	$27.50			$32.50	$17.00	$23.00		$130.00																																
Jun-03	2003	6	"$1,009.82"	-$15.25	$69.02	$83.79	$90.62	$32.14	$0.00	$965.00		$17.50	$27.50			$35.00	$17.00	$23.00		$170.00																																
Jul-03	2003	7	$963.20	-$15.25	$62.77	$72.69	$165.84	$24.64	$0.00	"$1,020.00"		$12.50	$22.50			$40.00	$17.00	$23.00		$190.00																																
Aug-03	2003	8	$950.01	-$15.25	$69.16	$77.20	$146.59	$29.11	$0.00	$960.00		$12.50	$22.50			$40.00	$17.00	$23.00		$190.00																																
Sep-03	2003	9	$915.38	-$15.25	$75.57	$85.90	$170.69	$34.38	$0.00	$940.00		$12.50	$22.50			$42.50	$17.00	$23.00		$170.00																																
Oct-03	2003	10	$974.36	-$15.25	$76.46	$93.43	$169.50	$40.60	$0.00	"$1,040.00"		$12.50	$27.50			$42.50	$17.00	$23.00		$200.00																																
Nov-03	2003	11	"$1,015.41"	-$15.25	$79.71	$97.03	$173.08	$45.54	$0.00	"$1,040.00"		$12.50	$27.50			$47.50	$17.00	$23.00		$190.00																																
Dec-03	2003	12	"$1,030.00"	-$15.25	$78.29	$93.33	$181.65	$49.84	$0.00	"$1,075.00"		$12.50	$27.50			$47.50	$17.00	$23.00		$190.00																																
Jan-04	2004	1	"$1,119.93"	-$15.25	$79.11	$94.04	$162.56	$62.40	$0.00	"$1,175.00"		$12.50	$27.50			$47.50	$17.00	$23.00		$190.00																																
Feb-04	2004	2	"$1,119.93"	-$15.25	$79.11	$94.04	$162.56	$62.40	$0.00	"$1,270.00"		$12.50	$32.50			$47.50	$17.00	$23.00		$190.00																																
Mar-04	2004	3	"$1,200.47"	-$15.25	$83.87	$97.23	$121.83	$94.81	$0.00	"$1,210.00"		$12.50	$27.50			$47.50	$17.00	$23.00		$190.00																																
Apr-04	2004	4	"$1,223.84"	-$15.25	$79.51	$97.57	$81.67	$67.39	$0.00	"$1,260.00"		$12.50	$27.50			$55.00	$17.00	$23.00		$160.00																																
May-04	2004	5	"$1,105.54"	-$15.25	$84.62	$98.62	$74.52	$62.24	$0.00	"$1,160.00"		$12.50	$27.50			$70.00	$17.00	$23.00		$150.00																																
Jun-04	2004	6	"$1,159.63"	-$15.25	$77.29	$97.89	$89.85	$58.39	$0.00	"$1,220.00"		$12.50	$27.50			$62.50	$17.00	$23.00		$140.00																																
Jul-04	2004	7	"$1,231.48"	-$15.25	$67.09	$97.34	$120.20	$80.36	$0.00	"$1,220.00"		$12.50	$32.50			$62.50	$17.00	$23.00		$140.00																																
Aug-04	2004	8	"$1,179.98"	-$15.25	$67.09	$92.08	$131.32	$95.24	$0.00	"$1,200.00"		$12.50	$32.50			$70.00	$17.00	$23.00		$150.00																																
Sep-04	2004	9	"$1,179.98"	-$15.25	$67.09	$92.08	$131.32	$95.24	$0.00	"$1,240.00"		$12.50	$32.50			$82.50	$17.00	$23.00		$190.00																																
Oct-04	2004	10	"$1,104.52"	-$15.25	$61.91	$99.13	$144.28	$108.93	$0.00	"$1,240.00"		$12.50	$32.50			$87.50	$17.00	$23.00		$230.00																																
Nov-04	2004	11	"$1,180.00"	-$15.25	$72.75	$103.18	$219.46	$108.93	$0.00	"$1,260.00"		$12.50	$32.50			$90.00	$17.00	$23.00		$260.00																																
Dec-04	2004	12	"$1,194.99"	-$15.25	$70.40	$106.36	$217.60	$104.46	$0.00	"$1,280.00"		$12.50	$32.50			$87.50	$17.00	$23.00		$330.00																																
Jan-05	2005	1	"$1,235.06"	-$15.25	$74.06	$109.97	$344.39	$104.46	$0.00	"$1,300.00"		$17.50	$32.50			$90.00	$17.00	$23.00		$370.00																																
Feb-05	2005	2	"$1,290.17"	-$15.25	$82.33	$112.86	$232.91	$104.46	$0.00	"$1,360.00"		$17.50	$32.50			$90.00	$17.00	$23.00		$390.00																																
Mar-05	2005	3	"$1,395.89"	-$15.25	$77.14	$114.74	$281.61	$104.46	$0.00	"$1,460.00"		$22.50	$37.50			$90.00	$17.00	$23.00		$390.00																																
Apr-05	2005	4	"$1,420.00"	-$15.25	$164.55	$114.50	$305.08	$117.86	$0.00	"$1,360.00"		$22.50	$37.50			$90.00	$17.00	$23.00		$360.00																																
May-05	2005	5	"$1,420.00"	-$15.25	$77.88	$114.06	$4.91	$100.00	$0.00	"$1,240.00"		$27.50	$37.50			$90.00	$17.00	$23.00		$530.00																																
Jun-05	2005	6	"$1,200.00"	-$15.25	$79.32	$113.88	$297.43	$84.82	$0.00	"$1,220.00"		$32.50	$37.50			$90.00	$17.00	$23.00		$430.00																																
Jul-05	2005	7	"$1,149.92"	-$15.25	$78.12	$106.24	$274.53	$84.82	$0.00	"$1,200.00"		$32.50	$32.50			$90.00	$17.00	$23.00		$410.00																																
Aug-05	2005	8	"$1,187.17"	-$15.25	$72.59	$102.58	$384.04	$92.11	$0.00	"$1,250.00"		$32.50	$32.50			$90.00	$17.00	$23.00		$480.00																																
Sep-05	2005	9	"$1,160.00"	-$15.25	$68.94	$102.04	$285.07	$107.14	$0.00	"$1,190.00"		$32.50	$32.50			$85.00	$17.00	$23.00		$550.00																																
Oct-05	2005	10	"$1,180.00"	-$15.25	$69.91	$103.72	$265.25	$103.97	$0.00	"$1,260.00"		$32.50	$32.50			$82.50	$17.00	$23.00		$630.00																																
Nov-05	2005	11	"$1,269.80"	-$15.25	$76.38	$104.41	$303.40	$93.75	$0.00	"$1,340.00"		$32.50	$32.50			$82.50	$17.00	$23.00		$610.00																																
Dec-05	2005	12	"$1,329.44"	-$15.25	$69.54	$106.07	$369.86	$89.29	$0.00	"$1,500.00"		$32.50	$32.50			$77.50	$17.00	$23.00		$690.00																																
Jan-06	2006	1	"$1,570.00"	-$15.25	$67.12	$101.17	$288.47	$78.57	$0.00	"$1,750.00"		$22.50	$27.50			$77.50	$17.00	$23.00		$330.00																																
Feb-06	2006	2	"$1,770.00"	-$15.25	$69.95	$99.90	$370.01	$78.57	$0.00	"$1,610.00"		$22.50	$27.50			$77.50	$17.00	$23.00		$330.00																																
Mar-06	2006	3	"$1,650.16"	-$15.25	$66.14	$98.47	$364.64	$83.04	$0.00	"$1,780.00"		$22.50	$27.50			$77.50	$17.00	$23.00		$330.00																																
Apr-06	2006	4	"$1,700.00"	-$15.25	$68.65	$95.66	$378.65	$91.96	$0.00	"$1,900.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$270.00																																
May-06	2006	5	"$2,020.00"	-$15.25	$63.00	$90.36	$301.93	$95.04	$0.00	"$1,880.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$240.00																																
Jun-06	2006	6	"$1,731.61"	-$15.25	$63.18	$92.37	$362.78	$99.91	$0.00	"$1,620.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$220.00																																
Jul-06	2006	7	"$1,731.61"	-$15.25	$63.18	$92.37	$362.78	$99.91	$0.00	"$1,660.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$220.00																																
Aug-06	2006	8	"$1,731.61"	-$15.25	$63.18	$92.37	$362.78	$99.91	$0.00	"$1,620.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$220.00																																
Sep-06	2006	9	"$1,731.61"	-$15.25	$63.18	$92.37	$362.78	$99.91	$0.00	"$1,560.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$250.00																																
Oct-06	2006	10	"$1,500.00"	-$15.25	$62.56	$112.75	$372.62	$84.82	$0.00	"$1,640.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$230.00																																
Nov-06	2006	11	"$1,500.00"	-$15.25	$64.30	$120.18	$305.62	$80.36	$0.00	"$1,700.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$230.00																																
Dec-06	2006	12	"$1,638.14"	-$9.75	$69.84	$128.00	$345.66	$80.36	$0.00	"$1,700.00"		$27.50	$27.50			$82.50	$25.00	$37.50	$12.50	$240.00																																
Jan-07	2007	1	"$1,700.00"	-$9.75	$72.75	$136.30	$291.00	$84.82	$0.00	"$1,780.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$290.00																																
Feb-07	2007	2	"$1,750.13"	-$9.75	$82.32	$146.59	$358.18	$107.14	$0.00	"$1,800.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$290.00																																
Mar-07	2007	3	"$1,739.43"	-$9.93	$90.66	$150.99	$319.50	$133.93	$0.00	"$1,820.00"		$27.50	$27.50			$82.50	$25.00	$37.50	$12.50	$290.00																																
Apr-07	2007	4	"$1,776.46"	-$9.96	$85.46	$141.60	$262.55	$133.93	$0.00	"$1,860.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$310.00																																
May-07	2007	5	"$1,789.36"	-$10.09	$74.45	$131.53	$336.20	$143.72	$0.00	"$1,800.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$310.00																																
Jun-07	2007	6	"$1,633.39"	-$10.26	$77.95	$136.91	$376.43	$133.93	$0.00	"$1,700.00"		$27.50	$27.50			$77.50	$25.00	$37.50	$12.50	$310.00																																
Jul-07	2007	7	"$1,684.60"	-$9.83	$88.05	$145.68	$307.51	$133.93	$0.00	"$1,680.00"		$92.50	$87.50			$77.50	$25.00	$37.50	$12.50	$310.00																																
Aug-07	2007	8	"$1,460.00"	-$10.06	$83.27	$141.09	$344.77	$134.10	$0.00	"$1,580.00"		$92.50	$87.50			$77.50	$25.00	$37.50	$12.50	$310.00																																
Sep-07	2007	9	"$1,444.77"	-$10.40	$141.49	$146.95	$329.25	$135.00	$0.00	"$1,520.00"		$97.50	$92.50			$77.50	$25.00	$37.50	$12.50	$310.00																																
Oct-07	2007	10	"$1,515.74"	-$10.16	$86.77	$153.98	$314.07	$133.41	$0.00	"$1,640.00"		$102.50	$92.50			$77.50	$25.00	$37.50	$12.50	$340.00																																
Nov-07	2007	11	"$1,660.00"	-$10.95	-$10.95	$160.74	$330.67	$93.75	$0.00	"$1,640.00"		$107.50	$97.50			$77.50	$25.00	$37.50	$12.50	$380.00																																
Dec-07	2007	12	"$1,529.99"	-$10.26	$143.77	$162.83	$422.57	$107.14	$0.00	"$1,580.00"		$107.50	$97.50			$82.50	$25.00	$37.50	$12.50	$380.00																																
Jan-08	2008	1	"$1,605.48"	-$10.29	$145.08	$168.95	$363.57	$151.79	$0.00	"$1,720.00"		$112.50	$97.50			$77.50	$25.00	$37.50	$12.50	$370.00																																
Feb-08	2008	2	"$1,767.01"	-$10.32	$152.88	$175.29	$402.69	$162.18	$0.00	"$2,060.00"		$127.50	$97.50			$77.50	$25.00	$37.50	$12.50	$350.00																																
Mar-08	2008	3								"$2,060.00"		$127.50	$97.50			$77.50	$25.00	$37.50	$12.50	$350.00																																
Apr-08	2008	4								"$1,980.00"		$127.50	$102.50			$77.50	$25.00	$37.50	$12.50	$330.00																																
May-08	2008	5								"$1,960.00"		$127.50	$107.50			$87.50	$25.00	$37.50	$12.50	$330.00																																
Jun-08	2008	6								"$2,050.00"		$127.50	$107.50			$87.50	$25.00	$37.50	$12.50	$330.00																																
Jul-08	2008	7								"$1,860.00"		$122.50	$107.50			$82.50	$25.00	$37.50	$12.50	$370.00																																
Aug-08	2008	8								"$1,700.00"		$122.50	$112.50			$87.50	$25.00	$37.50	$12.50	$470.00																																
Sep-08	2008	9								"$1,480.00"		$122.50	$112.50			$87.50	$25.00	$37.50	$12.50	$490.00																																
Oct-08	2008	10								"$1,140.00"		$117.50	$112.50			$82.50	$25.00	$37.50	$12.50	$240.00																																
Nov-08	2008	11								"$1,040.00"		$32.50	$32.50			$42.50	$25.00	$37.50	$12.50	$50.00																																
Dec-08	2008	12								$900.00		$12.50	$22.50			$37.50	$25.00	$37.50	$12.50	$40.00																																
Jan-09	2009	1								$820.00		$7.50	$22.50			$35.00	$25.00	$37.50	$12.50	$220.00																																
Feb-09	2009	2								$820.00		$2.50	$22.50			$35.00	$25.00	$37.50	$12.50	$230.00																																
Mar-09	2009	3								$880.00		$7.50	$22.50			$35.00	$25.00	$37.50	$12.50	$220.00																																
Apr-09	2009	4								$860.00		$35.00	$27.50			$140.00	$17.50	$17.50	$2.50	$260.00																																
May-09	2009	5								$880.00		$45.00	$42.50			$170.00	$17.50	$17.50	$2.50	$260.00	72.5																															
Jun-09	2009	6								"$1,060.00"		$52.50	$52.50			$170.00	$17.50	$17.50	$2.50	$260.00	82.5																															
Jul-09	2009	7								"$1,180.00"		$75.00	$75.00			$235.00	$17.50	$17.50	$2.50	$360.00	95																															
Aug-09	2009	8								"$1,160.00"		$80.00	$80.00			$245.00	$17.50	$17.50	$2.50	$400.00	105																															
Sep-09	2009	9								"$1,200.00"		$82.50	$82.50			$260.00	$17.50	$17.50	$2.50	$340.00	100																															
Oct-09	2009	10								"$1,220.00"		$82.50	$82.50			$240.00	$17.50	$17.50	$2.50	$340.00	102.5																															
Nov-09	2009	11								"$1,320.00"		$82.50	$82.50			$210.00	$17.50	$17.50	$2.50	$340.00	105																															
Dec-09	2009	12								"$1,440.00"		$90.00	$92.50			$250.00	$17.50	$17.50	$2.50	$300.00	112.5																															
Jan-10	2010	1								"$1,340.00"		$97.50	$97.50			$290.00	$17.50	$17.50	$2.50	$300.00	145																															
Feb-10	2010	2								"$1,400.00"		$105.00	$100.00			$290.00	$17.50	$17.50	$2.50	$300.00	155																															
Mar-10	2010	3								"$1,580.00"		$112.50	$100.00			$340.00	$17.50	$17.50	$2.50	$340.00	187.5																															
Apr-10	2010	4								"$1,480.00"		$107.50	$100.00			$340.00	$17.50	$17.50	$2.50	$400.00	155																															
May-10	2010	5								"$1,380.00"		$110.00	$110.00			$320.00	$17.50	$17.50	$2.50	$360.00	157.5																															
Jun-10	2010	6								"$1,340.00"		$105.00	$105.00			$320.00	$17.50	$17.50	$2.50	$460.00	130																															
Jul-10	2010	7								"$1,380.00"		$95.00	$95.00			$290.00	$17.50	$17.50	$2.50	$460.00	130																															
Aug-10	2010	8								"$1,420.00"		$100.00	$95.00			$310.00	$17.50	$17.50	$2.50	$360.00	147.5																															
Sep-10	2010	9								"$1,580.00"		$107.50	$97.50			$325.00	$17.50	$17.50	$2.50	$360.00	162.5																															
Oct-10	2010	10								"$1,660.00"		$117.50	$105.00			$300.00	$17.50	$17.50	$2.50	$360.00	177.5																															
Nov-10	2010	11								"$1,560.00"		$122.50	$115.00			$320.00	$17.50	$17.50	$2.50	$360.00	185																															
Dec-10	2010	12								"$1,690.00"		$122.50	$115.00			$360.00	$17.50	$17.50	$2.50	$400.00	195																															
Jan-11	2011	1								"$1,720.00"		$132.50	$125.00			$430.00	$17.50	$17.50	$2.50	$440.00	187.5																															
Feb-11	2011	2								"$1,780.00"		$137.50	$130.00			$420.00	$17.50	$17.50	$2.50	$420.00	187.5																															
Mar-11	2011	3								"$1,880.00"		$142.50	$132.50			$420.00	$17.50	$17.50	$2.50	$420.00	187.5																															
Apr-11	2011	4								"$2,000.00"		$147.50	$140.00			$420.00	$17.50	$17.50	$2.50	$440.00	187.5																															
May-11	2011	5								"$1,870.00"		$147.50	$140.00			$400.00	$17.50	$17.50	$2.50	$480.00	187.5																															
Jun-11	2011	6								"$1,850.00"		$152.50	$140.00			$420.00	$17.50	$17.50	$2.50	$540.00	187.5																															
Jul-11	2011	7								"$1,890.00"		$162.50	$150.00			$420.00	$17.50	$17.50	$2.50	$540.00	192.5																															
Aug-11	2011	8								"$1,710.00"		$162.50	$150.00			$420.00	$17.50	$17.50	$2.50	$480.00	192.5																															
Sep-11	2011	9								"$1,580.00"		$165.00	$150.00			$420.00	$17.50	$17.50	$2.50	$480.00	195																															
Oct-11	2011	10								"$1,600.00"		$155.00	$140.00			$415.00	$17.50	$17.50	$2.50	$480.00	180																															
Nov-11	2011	11								"$1,470.00"		$110.00	$105.00			$385.00	$17.50	$17.50	$2.50	$480.00	152.5																															
Dec-11	2011	12								"$1,410.00"		$105.00	$105.00			$415.00	$17.50	$17.50	$2.50	$480.00	152.5																															
Jan-12	2012	1								"$1,620.00"		$105.00	$105.00			$445.00	$17.50	$17.50	$2.50	$480.00	157.5																															
Feb-12	2012	2								"$1,610.00"		$110.00	$105.00			$420.00	$17.50	$17.50	$2.50	$460.00	160																															
Mar-12	2012	3								"$1,560.00"		$130.00	$120.00			$418.00	$17.50	$17.50	$2.50	$460.00	165																															
Apr-12	2012	4								"$1,540.00"		$130.00	$120.00			$410.00	$17.50	$17.50	$2.50	$540.00	160																															
May-12	2012	5								"$1,440.00"		$120.00	$110.00			$410.00	$17.50	$17.50	$2.50	$560.00	155																															
Jun-12	2012	6								"$1,360.00"		$117.50	$110.00			$355.00	$17.50	$17.50	$2.50	$500.00	150																															
Jul-12	2012	7								"$1,420.00"		$110.00	$95.00			$310.00	$17.50	$17.50	$2.50	$460.00	145																															
Aug-12	2012	8								"$1,420.00"		$85.00	$75.00			$385.00	$17.50	$17.50	$2.50	$420.00	125																															
Sep-12	2012	9								"$1,570.00"		$75.00	$75.00			$360.00	$17.50	$17.50	$2.50	$420.00	110																															
Oct-12	2012	10								"$1,420.00"		$90.00	$90.00			$317.00	$17.50	$17.50	$2.50	$420.00	125																															
Nov-12	2012	11								"$1,560.00"		$100.00	$100.00			$362.00	$17.50	$17.50	$2.50	$420.00	140																															
Dec-12	2012	12								"$1,600.00"		$95.00	$90.00			$362.00	$17.50	$17.50	$2.50	$420.00	130																															
Jan-13	2013	1								"$1,581.00"		$82.50	$97.50			$350.00	$17.50	$17.50	$2.50	$420.00	120																															
Feb-13	2013	2								"$1,520.00"		$87.50	$97.50			$340.00	$17.50	$17.50	$2.50	$420.00	125																															
Mar-13	2013	3								"$1,521.00"		$92.50	$97.50			$370.00	$17.50	$17.50	$2.50	$420.00	135																															
Apr-13	2013	4								"$1,540.00"		$92.50	$97.50			$350.14	$17.50	$17.50	$2.50	$420.00	135																															
May-13	2013	5								"$1,520.00"		$82.50	$92.50			$327.00	$17.50	$17.50	$2.50	$420.00	125																															
Jun-13	2013	6								"$1,380.00"		$82.50	$87.50			$315.00	$17.50	$17.50	$2.50	$460.00	125																															
Jul-13	2013	7								"$1,430.00"		$82.50	$82.50			$350.00	$17.50	$17.50	$2.50	$460.00	130																															
Aug-13	2013	8								"$1,420.00"		$77.50	$77.50			$350.00	$17.50	$17.50	$2.50	$420.00	135																															
Sep-13	2013	9								"$1,400.00"		$77.50	$77.50			$340.00	$17.50	$17.50	$2.50	$420.00	135																															
Oct-13	2013	10								"$1,420.00"		$77.50	$77.50			$340.00	$17.50	$17.50	$2.50	$420.00	135																															
Nov-13	2013	11								"$1,350.00"		$77.50	$77.50			$370.00	$17.50	$17.50	$2.50	$420.00	135																															
Dec-13	2013	12								"$1,400.00"		$72.50	$72.50			$390.00	$17.50	$17.50	$2.50	$420.00	125																															
Jan-14	2014	1								"$1,520.00"		$72.50	$77.50			$410.00	$17.50	$17.50	$2.50	$420.00	125																															
Feb-14	2014	2								"$1,560.00"		$72.50	$77.50			$375.00	$17.50	$17.50	$2.50	$420.00	130																															
Mar-14	2014	3								"$1,600.00"		$72.50	$77.50			$360.00	$17.50	$17.50	$2.50	$420.00	130																															
Apr-14	2014	4								"$1,650.00"		$72.50	$77.50			$370.00	$17.50	$17.50	$2.50	$420.00	120																															
May-14	2014	5								"$1,590.00"		$72.50	$77.50			$360.00	$17.50	$17.50	$2.50	$420.00	120																															
Jun-14	2014	6								"$1,640.00"		$72.50	$77.50			$350.00	$17.50	$17.50	$2.50	$420.00	120																															
Jul-14	2014	7								"$1,680.00"		$72.50	$77.50			$350.00	$17.50	$17.50	$2.50	$420.00	120																															
Aug-14	2014	8								"$1,760.00"		$72.50	$77.50			$350.00	$17.50	$17.50	$2.50	$420.00	120																															
Sep-14	2014	9								"$1,700.00"		$72.50	$77.50			$350.00	$17.50	$17.50	$2.50	$560.00	110																															
Oct-14	2014	10								"$1,780.00"		$72.50	$77.50			$340.00	$17.50	$17.50	$2.50	$560.00	105																															
Nov-14	2014	11								"$1,820.00"		$72.50	$77.50			$310.00	$17.50	$17.50	$2.50	$560.00	105																															
Dec-14	2014	12								"$1,720.00"		$72.50	$77.50			$310.00	$17.50	$17.50	$2.50	$560.00	100																															
Jan-15	2015	1								"$1,660.00"		$72.50	$77.50			$320.00	$17.50	$17.50	$2.50	$560.00	95																															
Feb-15	2015	2								"$1,530.00"		$67.50	$72.50			$220.00	$17.50	$17.50	$2.50	$560.00	82.5																															
Mar-15	2015	3								"$1,490.00"		$62.50	$67.50			$215.00	$17.50	$17.50	$2.50	$560.00	77.5																															
Apr-15	2015	4								"$1,360.00"		$62.50	$72.50			$215.00	$17.50	$17.50	$2.50	$560.00	77.5																															
May-15	2015	5								"$1,140.00"		$62.50	$72.50			$215.00	$17.50	$17.50	$2.50	$560.00	77.5																															
Jun-15	2015	6								"$1,140.00"		$67.50	$77.50			$235.00	$17.50	$17.50	$2.50	$560.00	92.5																															
Jul-15	2015	7								"$1,160.00"		$72.50	$82.50			$240.00	$17.50	$17.50	$2.50	$520.00	102.5																															
Aug-15	2015	8								"$1,180.00"		$72.50	$82.50			$220.00	$17.50	$17.50	$2.50	$520.00	102.5																															
Sep-15	2015	9								"$1,180.00"		$72.50	$82.50			$210.00	$17.50	$17.50	$2.50	$520.00	97.5																															
Oct-15	2015	10								"$1,140.00"		$72.50	$82.50			$160.00	$17.50	$17.50	$2.50	$520.00	97.5																															
Nov-15	2015	11								"$1,140.00"		$67.50	$77.50			$140.00	$17.50	$17.50	$2.50	$520.00	92.5																															
Dec-15	2015	12								"$1,120.00"		$67.50	$77.50			$140.00	$17.50	$17.50	$2.50	$520.00	92.5																															
Jan-16	2016	1								"$1,160.00"		$62.50	$72.50			$160.00	$17.50	$17.50	$2.50	$480.00	92.5																															
Feb-16	2016	2								"$1,180.00"		$62.50	$72.50			$160.00	$17.50	$17.50	$2.50	$480.00	92.5																															
Mar-16	2016	3								"$1,160.00"		$62.50	$77.50			$185.00	$17.50	$17.50	$2.50	$480.00	92.5																															
Apr-16	2016	4								"$1,350.00"		$67.50	$82.50			$69.20	$17.50	$17.50	$2.50	$480.00	97.5																															
May-16	2016	5								"$1,350.00"		$72.50	$82.50			$69.20	$17.50	$17.50	$2.50	$480.00	97.5																															
Jun-16	2016	6								"$1,350.00"		$77.50	$87.50			$69.20	$17.50	$17.50	$2.50	$480.00	97.5																															
Jul-16	2016	7								"$1,350.00"		$82.50	$92.50			$69.20	$17.50	$17.50	$2.50	$480.00	105																															
Aug-16	2016	8								"$1,350.00"		$92.50	$102.50			$69.20	$17.50	$17.50	$2.50	$480.00	120																															
Sep-16	2016	9								"$1,350.00"		$82.50	$102.50			$69.20	$17.50	$17.50	$2.50	$480.00	110																															
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
