SPU Residential Survey Market Prices ($/Ton)												
		Baled	Loose	Mixed	Baled	Loose	Loose		Brown	Clear	Green	OCC
2013	11	"$1,350.00"		$77.50	$77.50		$420.00	$370.00	$17.50	$17.50	$2.50	$135.00
2013	12	"$1,400.00"		$72.50	$72.50		$420.00	$390.00	$17.50	$17.50	$2.50	$125.00
2014	1	"$1,520.00"		$72.50	$77.50		$420.00	$410.00	$17.50	$17.50	$2.50	$125.00
2014	2	"$1,560.00"		$72.50	$77.50		$420.00	$375.00	$17.50	$17.50	$2.50	$130.00
2014	3	"$1,600.00"		$72.50	$77.50		$420.00	$360.00	$17.50	$17.50	$2.50	$130.00
2014	4	"$1,650.00"		$72.50	$77.50		$420.00	$370.00	$17.50	$17.50	$2.50	$120.00
2014	5	"$1,590.00"		$72.50	$77.50		$420.00	$360.00	$17.50	$17.50	$2.50	$120.00
2014	6	"$1,640.00"		$72.50	$77.50		$420.00	$350.00	$17.50	$17.50	$2.50	$120.00
2014	7	"$1,680.00"		$72.50	$77.50		$420.00	$350.00	$17.50	$17.50	$2.50	$120.00
2014	8	"$1,760.00"		$72.50	$77.50		$420.00	$350.00	$17.50	$17.50	$2.50	$120.00
2014	9	"$1,700.00"		$72.50	$77.50		$560.00	$350.00	$17.50	$17.50	$2.50	$110.00
2014	10	"$1,780.00"		$72.50	$77.50		$560.00	$340.00	$17.50	$17.50	$2.50	$105.00
2014	11	"$1,820.00"		$72.50	$77.50		$560.00	$310.00	$17.50	$17.50	$2.50	$105.00
2014	12	"$1,720.00"		$72.50	$77.50		$560.00	$310.00	$17.50	$17.50	$2.50	$100.00
2015	1	"$1,660.00"		$72.50	$77.50		$560.00	$320.00	$17.50	$17.50	$2.50	$95.00
2015	2	"$1,530.00"		$67.50	$72.50		$560.00	$220.00	$17.50	$17.50	$2.50	$82.50
2015	3	"$1,490.00"		$62.50	$67.50		$560.00	$215.00	$17.50	$17.50	$2.50	$77.50
2015	4	"$1,360.00"		$62.50	$72.50		$560.00	$215.00	$17.50	$17.50	$2.50	$77.50
2015	5	"$1,140.00"		$62.50	$72.50		$560.00	$215.00	$17.50	$17.50	$2.50	$77.50
2015	6	"$1,140.00"		$67.50	$77.50		$560.00	$235.00	$17.50	$17.50	$2.50	$92.50
2015	7	"$1,160.00"		$72.50	$82.50		$520.00	$240.00	$17.50	$17.50	$2.50	$102.50
2015	8	"$1,180.00"		$72.50	$82.50		$520.00	$220.00	$17.50	$17.50	$2.50	$102.50
2015	9	"$1,180.00"		$72.50	$82.50		$520.00	$210.00	$17.50	$17.50	$2.50	$97.50
2015	10	"$1,140.00"		$72.50	$82.50		$520.00	$160.00	$17.50	$17.50	$2.50	$97.50
2015	11	"$1,140.00"		$67.50	$77.50		$520.00	$140.00	$17.50	$17.50	$2.50	$92.50
2015	12	"$1,120.00"		$67.50	$77.50		$520.00	$140.00	$17.50	$17.50	$2.50	$92.50
2016	1	"$1,160.00"		$62.50	$72.50		$480.00	$160.00	$17.50	$17.50	$2.50	$92.50
2016	2	"$1,180.00"		$62.50	$72.50		$480.00	$160.00	$17.50	$17.50	$2.50	$92.50
2016	3	"$1,160.00"		$62.50	$77.50		$480.00	$185.00	$17.50	$17.50	$2.50	$92.50
2016	4	"$1,350.00"		$67.50	$82.50		$480.00	$69.20	$17.50	$17.50	$2.50	$97.50
2016	5	"$1,350.00"		$72.50	$82.50		$480.00	$69.20	$17.50	$17.50	$2.50	$97.50
2016	6	"$1,350.00"		$77.50	$87.50		$480.00	$69.20	$17.50	$17.50	$2.50	$97.50
2016	7	"$1,350.00"		$82.50	$92.50		$480.00	$69.20	$17.50	$17.50	$2.50	$105.00
2016	8	"$1,350.00"		$92.50	$102.50		$480.00	$69.20	$17.50	$17.50	$2.50	$120.00
2016	9	"$1,350.00"		$82.50	$102.50		$480.00	$69.20	$17.50	$17.50	$2.50	$110.00
