ARTWORK CITY,ARWORK ADDRESS,ZIP CODE,ARTWORK LATITUDE,ID NUMBER,ARTIST,TITLE,DATE,MATERIALS,MEASUREMENTS,CREDIT LINE,ARTWORK SITE,SPECIFIC LOCATION,Location 1
Bremerton,"1500 13th St., ",98337,47.573059,WSAC2009.004.001,"Bergner, Lanny","Dream of the Infinite, part 1",2010,"Bronze mesh, brass mesh, glass frit, wire, silicone, styrofoam, and plywood",dimensions variable,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bremerton School District,Bremerton High School,Cafeteria - curved wall above window alcove,"(47.573059, -122.639730)"
Bremerton,"1500 13th St., ",98337,47.573059,WSAC2009.004.002,"Bergner, Lanny","Dream of the Infinite, part 2",2010,"Bronze mesh, brass mesh, glass frit, wire, silicone, styrofoam, and plywood",54 in x 11 in x 11 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bremerton School District,Bremerton High School,Cafeteria - suspended from skylight,"(47.573059, -122.639730)"
Bremerton,"1500 13th St., ",98337,47.573059,WSAC2009.004.005,"Bergner, Lanny","Dream of the Infinite, part 5",2010,"Bronze mesh, brass mesh, glass frit, wire, silicone, styrofoam, and plywood",54 in x 11 in x 11 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bremerton School District,Bremerton High School,Cafeteria - suspended from skylight,"(47.573059, -122.639730)"
Bremerton,"1500 13th St., ",98337,47.573059,WSAC2009.004.004,"Bergner, Lanny","Dream of the Infinite, part 4",2010,"Bronze mesh, brass mesh, glass frit, wire, silicone, styrofoam, and plywood",54 in x 11 in x 11 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bremerton School District,Bremerton High School,Cafeteria - suspended from skylight,"(47.573059, -122.639730)"
Bremerton,"1500 13th St., ",98430-,47.573059,WSAC2009.004.003,"Bergner, Lanny","Dream of the Infinite, part 3",2010,"Bronze mesh, brass mesh, glass frit, wire, silicone, styrofoam, and plywood",54 in x 11 in x 11 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bremerton School District,Bremerton High School,Cafeteria - suspended from skylight,"(47.573059, -122.639730)"
Bremerton,"1600 Chester Ave, ",98584,47.229206,WSAC2002.009.001-005,"Bornstein, Gloria",Field of Wishes,2003,Stainless steel,13 ft x 3 ft x 3 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Department of Corrections,Olympic College - Shelton,OUTDOORS OC SHELTON CAMPUS,"(47.229206, -123.110824)"
Bremerton,"1600 Chester Ave, ",98337-1699,47.575216,WSAC2005.021.000,"Zentz, Patrick",Puget Sound System,2007,"Jatoba, rawhide, glass, and electrical components",64 in x 64 in x 5 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Olympic College,Olympic College,South wall of Science and Tech. Bldg.,"(47.575216, -122.63528)"
Bremerton,"1600 Chester Ave, ",98337,47.575718,WSAC2007.047.000,"Grygutis, Barbara",Signs and Symbols_Symbols and Signs,2009,"Aluminum, glass block, and lighting",15.6 ft x 11.8 ft 18 1/2 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Olympic College and Department of Corrections,Olympic College,"plaza between library, science, & humanities bldgs","(47.575718, -122.635738)"
Bremerton,"1600 Chester Ave, ",98337-1699,47.765294,WSAC2003.077.00A-C,"Dennis, Michael",Elders,2004,Carved cedar,108 in x 144 in x 96 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Olympic College,Olympic College - Poulsbo,Exterior location outside main entrance,"(47.765294, -122.662537)"
Brush Prairie,"16819 NE 159th St., ",98624,45.736549,WSAC2003.076.000,"Wu, Hai-Ying",The Spirit of the Sky,2004,Silicone bronze and stainless steel,120 in x 48 in x 48 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Hockinson School District,Hockinson High School,Exterior courtyard,"(45.736549, -122.499371)"
Buckley,"26928 120th St. E., ",98908,47.145628,WSAC2003.051.00A-P,"Beyette, Pam",Alluvial Benchmarks,2003,"Glass-beaded stainless steel, carved granite, and bronze",40-48 in x 50-54 in x 5 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with White River School District,White River High School,Main entrance lobby wall,"(47.145628, -122.073635)"
Burien,"16201 16th Ave SW, ",98270,47.457871,WSAC2005.003.000,"Storrs, Anne",Building Blocks,2006,"Bronze, cast stone, and high-fired ceramic tile",10.5 in x 10.5 in x 10.5 in (each),This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Highline School District,Gregory Heights Elementary,Seating area at main (north) school entrance - exterior,"(47.457871, -122.355675)"
Burien,"17810 8th Ave. S, Bldg. A, ",98383,47.484204,WSAC2009.022.000,"Yates, Stephen",All the Colors,2011,Acrylic on wood panel,29 in x 133 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Highline School District,Cedarhurst Elementary,entry,"(47.484204, -122.324859)"
Burien,"2725 SW 116th St., ",98133,47.498686,WSAC2010.013.00A-E,"Prather, Julie",School of Fish,2011,Stained glass,26 in x 12.5 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Highline School District,Shorewood Elementary,Between school entry and cafeteria - top row of windows,"(47.498686, -122.36753)"
Burlington,"820 S. Skagit St., ",98635,48.469149,WSAC2005.034.000,Carl Bryant and Sandra Bryant,The Skagit Valley,2006,Glass mosaic tile,55 in x 142 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Burlington-Edison School District,Lucille Umbarger Elementary,East wall across from the office,"(48.469149, -122.317888)"
Camas,"1612 NE Garfield St., ",99201-0282,45.591106,WSAC2007.005.001A-P,"Kodis, Louise",Part One: High Hopes: Engaging the Day,2007,"Silk, nylon, and metallic fabric stretched on bamboo and acrylic rods",dimensions variable,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Liberty Middle School,Library,"(45.591106, -122.40272)"
Camas,"1612 NE Garfield St., ",98607,,WSAC2007.005.002A-C,"Kodis, Louise",Part Two: High Hopes: Greeting the Day,2007,"Silk, nylon, and metallic fabric stretched on bamboo and acrylic rods","20 in x 20 in x 60 in (each, 3 parts)",This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Liberty Middle School,Skylights in hallway,
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.007,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.006,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.005,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.004,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.003,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.002,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.001,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.019,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.018,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.008,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.009,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.010,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.011,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.012,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.013,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.014,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.015,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98607,45.59192,WSAC2014.001.017,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1919 NE Ione Street, ",98146,45.59192,WSAC2014.001.016,"de Lory, Peter",A Pathway,2015,Dye sublimation photographs on aluminum,36 in x 36 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Hayes Freedom High School,"South wall of interior hallway, above library windows","(45.59192, -122.402974)"
Camas,"1954 NE Garfield St., ",98668-8910,45.594067,WSAC2010.007.00A-K,"Brown, Kim",Just Let Looking Look,2011,"Glass, photography, Douglas Fir stumps, Armstrong Maple tree, and artist-made booklet",dimensions variable,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Helen Baller Elementary,Exterior tree at end of east corridor; Booklet in library; Benches movable (3); Windows on first floor (4); Windows on second floor (3),"(45.594067, -122.401096)"
Camas,"26900 SE 15th, ",98021-9597,45.612028,WSAC2002.012.000,"Caldwell, Judith",The Camas Pages,2003,Cast bronze,,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Camas School District,Camas High School,Commons area columns,"(45.612028, -122.397924)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.026.000,"Gurche, Charles",Oak at Sunrise,2004,Digital photographic print,16 in x 20 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department,Spokane Readiness Center,"First floor, left corridor","(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.027.000,"Gurche, Charles",Cottonwoods on Browne Mountain,2004,Digital photographic print,16 in x 20 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,"First floor, left corridor","(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.025.000,"Gurche, Charles",Forest in Fog,2004,Digital photographic print,16 in x 20 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,"First floor, left corridor","(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.024.000,"Waldman, Gay",Golden Sunset,2005,Enhanced digital photo on Kodak Endura RC paper,18 in x 18 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,Second floor corridor,"(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.023.000,"Waldman, Gay",Amber Sunset,2005,Enhanced digital photo on Kodak Endura RC paper,18 in x 18 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,Second floor corridor,"(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.022.000,"Waldman, Gay",Afternoon Glow,2004,Enhanced digital photo on Kodak Endura RC paper,18 in x 18 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,Second floor corridor,"(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.021.000,"Waldman, Gay",Sunset Glow,2004,Enhanced digital photo on Kodak Endura RC paper,18 in x 18 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,Second floor corridor,"(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.032.000,"Lewis, John",Atomic Raincloud,1999,Gelatin silver print,18 in x 22 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,"First floor, left corridor","(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.031.000,"Lewis, John",Day After Fire,1999,Gelatin silver print,18 in x 22 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,"First floor, left corridor","(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.030.000,"Lewis, John",Summer,1999,Gelatin silver print,19 in x 19 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,"First floor, left corridor","(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.033.000,"Wright, Yancy",Tanker Reflections,2006,Metallic photograph (Kodak Endura),14 in x 20 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,"First floor entrance, on the left","(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.034.000,"Wright, Yancy",Tanker Abstraction,2006,Metallic Photograph (Kodak Endura),14 in x 20 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,"First floor entrance, on the left","(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.035.000,"Wright, Yancy",Peaceful Clearing,2006,Metallic photograph (Kodak Endura),14 in x 14 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,"First floor entrance, on the left","(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98430-,47.674199,WSAC2006.036.000,"Wright, Yancy",Treading Lightly,2006,Metallic photograph (Kodak Endura),14 in x 20 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,"First floor entrance, on the left","(47.674199, -117.348104)"
Camp Murray,"Bldg. 36, MS TA-20",98520-,47.674199,WSAC2006.029.000,"Lewis, John",Charcoal Forest,1999,Gelatin silver print,18 in x 22 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department Spokane Readiness Center,Spokane Readiness Center,"First floor, left corridor","(47.674199, -117.348104)"
Camp Murray,"MS TA-20, ",98907-2520,46.978816,WSAC2003.069.00A-C,"Brennen, William",Yakima Militia,2004,Acrylic on canvas on Masonite,59-96 in x 26-132 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department,Yakima National Guard Armory and Readiness Center,Above stairwell,"(46.978816, -123.656002)"
Camp Murray,"MS TA-20, ",98178,47.552917,WSAC2006.005.000,"Wright, Yancy",The Citizen,2006,Layered transparencies with LED lights,46 in x 63 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Military Department,Bremerton National Guard Readiness Center,Main stairwell landing,"(47.552917, -122.682487)"
Carnation,"11530 320th Ave NE, ",98606,47.389824,WSAC1992.052.000,"Oberheide, Heidi",Bear,1990,Acrylic on canvas,5 ft x 6 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Riverview School District and Highline Community College,Highline College,"Bldg. 30, 3rd floor staircase","(47.389824, -122.300262)"
Centralia,"600 Centralia College Blvd, ",98513,46.71568,WSAC2009.008.00A-G,"Nagase, Masayuki",Elements,2010,Carved granite,dimensions variable,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Centralia College,Centralia College,South Plaza of Science Center - between pedestrian walkway and building's entrance,"(46.71568, -122.961701)"
Chehalis,"375 SW 11th ST, ",98092-3699,46.649178,WSAC2012.030.000,"Franklin, David",Cultural House of Cards,2014,Aluminum and epoxy paint,14 ft x 7 ft x 3 1/2 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Department of Social and Health Services,Green Hill School,"Courtyard, near western-most dorm","(46.649178, -122.961416)"
Cheney,"319 Showalter Hall, ",99004-2445,47.489534185439695,WSAC2005.040.000,"Brown, Kim",You Are Here,2006,"Granite cobble, basalt, lawn daisy, and book",2 in x 12 in x 392 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Eastern Washington University,Eastern Washington University,Lawn - East of Computing & Engineering Sciences Bldg,"(47.489534185439695, -117.58465770044711)"
Cheney,"319 Showalter Hall, ",99004-2445,47.491017,WSAC2003.045.001,"Flett, George",Plateau Traditions,2003,Acrylic on canvas,40 in x 60 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Eastern Washington University,Eastern Washington University,"Indian Education Center, 1st Fl hall","(47.491017, -117.577021)"
Cheney,"319 Showalter Hall, ",98053,47.491017,WSAC2003.045.002,"Flett, George",Plateau Traditions,2003,Acrylic on canvas,40 in x 60 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Eastern Washington University,Eastern Washington University,"Indian Education Center, Front Lobby","(47.491017, -117.577021)"
Cheney,"319 Showalter Hall, ",99004-2445,47.491041,WSAC2005.039.000,"McClelland, Tom",Juggling Act,2006,Cast bronze,99 in x 35 in x 27 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Eastern Washington University,Eastern Washington University,Semi-circular plaza outside Senior Hall,"(47.491041, -117.578775)"
Cheney,"319 Showalter Hall, ",99004-2445,47.491521,WSAC2000.008.000,"Point, Susan",Intersection of Enlightenment,2001,Red cedar and galvanized steel,20 in x 240 in x 240 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Eastern Washington University,Eastern Washington University,Adjacent to Monroe Hall,"(47.491521, -117.580797)"
Cheney,"319 Showalter Hall, ",99004-2445,47.491673,WSAC2010.017.000,"Hammer, Joanne",In Wanting to Know,2011,Glass and marble mosaic tile,9 ft x 5 ft x 1 1/2 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Eastern Washington University,Eastern Washington University,Hargreaves Hall - Southwest lobby,"(47.491673, -117.579801)"
Cheney,"580 West 7th St., ",98903,47.487981,WSAC2004.018.00A-P,"Boyden, Frank",Polarities,2005,"Stainless steel, granite, cast bronze, and cast acrylic resin",29 in x 44 in x 76 in (game table),This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Washington State Patrol,"Washington State Patrol - Crime Laboratory Division, Spokane",Interior courtyard,"(47.487981, -117.588372)"
Cheney,"960 Washington St., ",99004-2445,47.487679,WSAC2002.006.000,"Shaw, Benson",CACHE,2004,"Concrete, glass shards, and stainless steel",158 in x 709 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Secretary of State,Eastern Washington Regional Archives,exterior plaza,"(47.487679, -117.586702)"
Clarkston,"1917 4TH AVE, ",98446-1399,46.392161,WSAC1994.040.000,"Bartow, Rick",Cautious Wolf,1993,Acrylic on board and paper,18 in x 24 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Clarkston School District,Clarkston Heights Elementary,Main hall,"(46.392161, -117.078789)"
Cle Elum,"2692 SR 903, ",98504-2675,47.389824,WSAC1995.076.000,"Weiss, Dick",A Native American Woman,1994,Monotype,22 in x 30 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Cle Elum-Roslyn School District and Highline Community College,Highline College,"Bldg. 30, 3rd fl, W. wall by Rm 311","(47.389824, -122.300262)"
Colbert,"4717 E. Day-Mt. Spokane rd, ",98092-,47.803087,WSAC2007.043.000,"Jewell, John Patrick","Mountainside, Yes!",2008,Bronze,80 in x 40 in x 18 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Mead School District,Mountainside Middle School,Adjacent to main entrance,"(47.803087, -117.340521)"
Connell,"PO Box 1200, ",99326-1200,46.652438,WSAC2007.053.006,Jean Whitesavage and Nick Lyle,"Prairie Flowers, Potato, and Wheat: Potato Flower",2009,Forged and painted mild steel,12 ft  x 5 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Department of Corrections and City of Connell,City of Connell,walking path adjacent to Hwy 395 - E. Gum St. east entrance to walking trail,"(46.652438, -118.857739)"
Connell,"PO Box 1200, ",99326-1200,46.653358,WSAC2007.052.00F,"Otterness, Tom",Opening Day from the series Wild Life,2010,"Bronze, cast concrete, and stainless steel",38 in x 66 in x 66 in (approx.),This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Department of Corrections and City of Connell,City of Connell,"S Columbia Ave, near Michael/Jays btwn E Fir & Elm","(46.653358, -118.861207)"
Connell,"PO Box 1200, ",99326-1200,46.655158,WSAC2007.052.00E,"Otterness, Tom",Farmers and Bankers from the series Wild Life,2010,"Bronze, cast concrete, and stainless steel",49 in x 86 in x 66 in (approx.),This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Department of Corrections and City of Connell,City of Connell,"S Columbia Ave, near 1st Community Bank","(46.655158, -118.861181)"
Connell,"PO Box 1200, ",99326-1200,46.655966,WSAC2007.053.005,Jean Whitesavage and Nick Lyle,"Prairie Flowers, Potato, and Wheat: Stalk of Wheat",2009,Forged and painted mild steel,13 ft x 3 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Department of Corrections and City of Connell,City of Connell,walking path adjacent to Hwy 395 - E. Elm St. extending from the line of poplar trees,"(46.655966, -118.853099)"
Connell,"PO Box 1200, ",99326-1200,46.656973,WSAC2007.053.004,Jean Whitesavage and Nick Lyle,"Prairie Flowers, Potato, and Wheat: Giant Blazing Star",2009,Forged and painted mild steel,17 ft x 8 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Department of Corrections and City of Connell,City of Connell,walking path adjacent to Hwy 395 - Pioneer Park in line with RR grade,"(46.656973, -118.852783)"
Connell,"PO Box 1200, ",99326-1200,46.658706,WSAC2007.053.003,Jean Whitesavage and Nick Lyle,"Prairie Flowers, Potato, and Wheat: Shooting Star",2009,Forged and painted mild steel,16 ft x 6 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Department of Corrections and City of Connell,City of Connell,walking path adjacent to Hwy 395 - E. Beech & Ford,"(46.658706, -118.85204)"
Connell,"PO Box 1200, ",99326-1200,46.660318,WSAC2007.052.00B,"Otterness, Tom",Post Office from the series Wild Life,2010,"Bronze, cast concrete, and stainless steel",49 in x 75 in x 25 in (appox.),This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Department of Corrections and City of Connell,City of Connell,Back at the Post Office,"(46.660318, -118.860798)"
Connell,"PO Box 1200, ",99326-1200,46.660748,WSAC2007.053.002,Jean Whitesavage and Nick Lyle,"Prairie Flowers, Potato, and Wheat: Fiddleneck",2009,Forged and painted mild steel,17 ft x 8 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Department of Corrections and City of Connell,City of Connell,walking path adjacent to Hwy 395 - N. of Franklin on walking trail Connell ES building site,"(46.660748, -118.851217)"
